"NUMBER","FWI","ISI","number_of_fire","Period","IA_Size","BH_Size","Status","Gap_BHIA","Fuel_type","Detection","Response_time","Month","Method","Gap_UCIA","Ex_Size","Gap","Growth","logIA_Size","logResp_time","sqlogIA_Size","sqlogResp_time","sqFWI","sqISI","logNumber_of_fire"
"E04154-1999",18,10,31,"PM",8,13.3,1,68.8,"C2","LKT",5.1,"8","Air Tanker",68.8,11.5,5.3,0,2.08006634644868,1.63022045161663,4.32667600562835,2.65761872086913,324,100,3.43398720448515
"E04155-1999",15,7,31,"PM",2.5,5,1,1.44999999996689,"C2","LKT",1.01666666666667,"8","Air",25.3666666666667,2.5,2.5,0,0.918288734536828,0.0214352807200649,0.843254199977249,0.000459471259547985,225,49,3.43398720448515
"E04156-1999",18,8,31,"PM",3,3,1,2.23333333333333,"C2","LKT",1.98333333333333,"8","Air",2.23333333333333,3,0,1,1.10027756798717,0.68729676688177,1.21061072661576,0.472376845766134,324,64,3.43398720448515
"E04157-1999",19,8,7,"AM",2,2,1,5.56666666666667,"C2","UNP",12.1666666666667,"8","Other ground",5.56666666666667,2,0,1,0.695644060758532,2.49911084640396,0.483920659268621,6.24555502261393,361,64,1.94591014905531
"E04158-1999",15,8,31,"PM",0.4,0.7,1,1.5,"C2","LKT",2.5,"8","Other ground",17.4166666666667,0.7,0.3,0,-0.903868211875598,0.918288734536828,0.816977744439191,0.843254199977249,225,64,3.43398720448515
"E04159-1999",18,7,31,"PM",1.5,1.5,1,1.05,"C2","LKT",3.45,"8","Air",1.05,1.5,0,1,0.408792898200839,1.23982245721963,0.167111633619442,1.53715972542613,324,49,3.43398720448515
"E04160-1999",15,6,31,"PM",3,35,1,41.6333333333333,"C2","LKT",4.68333333330022,"8","Air",68.8833333333665,24,32,0,1.10027756798717,1.54507715326665,1.21061072661576,2.38726340954657,225,36,3.43398720448515
"E04161-1999",20,9,7,"AM",2.2,5,1,55.3333333333333,"C2","AIR",9.66666666666667,"8","Other ground",55.3333333333333,5,2.8,0,0.790727508898809,2.26920064897446,0.625249993329317,5.14927158530612,400,81,1.94591014905531
"E04162-1999",17,7,31,"PM",5,100,1,66.7333333333333,"Other","LKT",3.56666666666667,"8","Other ground",86.15,85,95,0,1.61043741276718,1.27303234025743,2.59350866044026,1.62061133934131,289,49,3.43398720448515
"E04168-1999",9,4,7,"PM",0.1,0.1,1,0.566666666666667,"Other","LKT",0.95,"8","Air",0.566666666666667,0.1,0,1,-2.25379492882461,-0.0460439385014068,5.07959158119555,0.00212004427272134,81,16,1.94591014905531
"E04169-1999",13,5,4,"AM",0.1,0.1,1,0.783333333333333,"Other","AIR",0.0833333333333333,"8","Air",1.86666666666667,0.1,0,1,-2.25379492882461,-2.42663774166402,5.07959158119555,5.88857072926828,169,25,1.38629436111989
